id1,id2
510513416,404584
510513416,44219373
510513416,48798432
454321813,404584
454321813,713990091
454321813,44330974
454321813,693685696
454321813,693685698
44330974,404584
44330974,713990091
44330974,758148176
44330974,758148175
44330974,682935723
44219373,404584
44219373,48798432
44219373,479752368
926818401,404584
926818401,44220024
926818401,7774720
48021068,404584
48021068,502729441
48021068,49163966
48021068,48018621
48021068,699918784
48021068,7356241
412127525,404584
412127525,528766476
412127525,412127529
412127525,528766474
412127528,404584
412127528,528766476
412127528,528766474
412127529,404584
412127529,528766476
48018621,404584
479752368,404584
479752368,512351258
479752368,13652353
7774720,404584
7774720,44220024
7774720,479751583
7774720,479751582
512351258,404584
512351258,512350768
512351258,412127531
512351258,13652353
528766476,404584
528766476,528766474
528766474,404584
48798432,404584
758148175,404584
713990091,404584
713990091,758148176
693685698,404584
693685698,693685696
682935723,404584
682935723,758148176
758148176,404584
693685696,404584
367277621,379688489
367277621,367277635
23551189,23551214
367277635,379688489
223023512,382360359
223023512,397821440
23551214,23453740
23551214,239901073
146252883,382360339
491341099,382360359
303027622,224101928
303027622,382360379
382360379,224101928
382360379,270171272
59524698,382360359
382360274,122870554
382360274,337806374
382360274,125895871
382360359,1106289623
382360359,397821440
678923752,24345422
678923752,382360363
327562119,379688492
382360340,283098142
382360340,283624399
327562114,379688492
404794531,404794534
404794531,33629503
224101928,270171272
224101928,31624685
404794534,404794536
404794534,33629503
404794536,33629503
404924768,33629503
123276910,54525147
123276910,24345422
123276910,382360363
123276910,54531022
270171272,31624685
270171272,239901073
54525147,382360363
881073662,146267612
881073662,379688487
146267612,379688487
379688494,55750
379688494,379688330
379688492,55750
379688492,327562120
379688492,708828566
379688492,708828567
379688492,327562115
379688489,55750
379688487,55750
917429503,31624685
917429503,239901073
54531022,382360363
33629503,146253804
33629503,337806376
33629503,45741088
379688330,55750
52403208,5448788
52403208,1302856239
366371562,1302845799
366371562,1302845801
366371562,5448788
366371562,366385886
1230750715,1302845805
715445391,1302845804
1302845801,1302845799
1302845801,1302845798
1302845801,366385886
